name: tiny_stories
Tokenizer loaded from ./src/tokenization/saved_bpe_tiny_story_train.json
1763892203.3715239: Pre-tokenization completed
1763892203.3715553: Encoding word 0
1763892203.6570535: Encoding word 50000
1763892203.9513535: Encoding word 100000
1763892204.2313445: Encoding word 150000
1763892204.5173225: Encoding word 200000
1763892204.793602: Encoding word 250000
1763892205.0685127: Encoding word 300000
1763892205.3449805: Encoding word 350000
1763892205.6191626: Encoding word 400000
1763892205.8956957: Encoding word 450000
1763892206.1720376: Encoding word 500000
1763892206.4486692: Encoding word 550000
1763892206.7250686: Encoding word 600000
1763892207.0011773: Encoding word 650000
1763892207.2792902: Encoding word 700000
1763892207.5558326: Encoding word 750000
1763892207.8334353: Encoding word 800000
1763892208.1075497: Encoding word 850000
1763892208.3810456: Encoding word 900000
1763892208.6564288: Encoding word 950000
1763892208.932867: Encoding word 1000000
1763892209.2105112: Encoding word 1050000
1763892209.484795: Encoding word 1100000
1763892209.7641485: Encoding word 1150000
1763892210.042815: Encoding word 1200000
1763892210.320804: Encoding word 1250000
1763892210.5974374: Encoding word 1300000
1763892210.8757026: Encoding word 1350000
1763892211.1519685: Encoding word 1400000
1763892211.4262211: Encoding word 1450000
1763892211.7016017: Encoding word 1500000
1763892211.9768538: Encoding word 1550000
1763892212.2518961: Encoding word 1600000
1763892212.5264907: Encoding word 1650000
1763892212.801493: Encoding word 1700000
1763892213.0765374: Encoding word 1750000
1763892213.3537383: Encoding word 1800000
1763892213.6313143: Encoding word 1850000
1763892213.9086256: Encoding word 1900000
1763892214.1838799: Encoding word 1950000
1763892214.4582882: Encoding word 2000000
1763892214.7366955: Encoding word 2050000
1763892215.013535: Encoding word 2100000
1763892215.2896278: Encoding word 2150000
1763892215.5659542: Encoding word 2200000
1763892215.8432624: Encoding word 2250000
1763892216.122811: Encoding word 2300000
1763892216.404577: Encoding word 2350000
1763892216.6835377: Encoding word 2400000
1763892216.9616218: Encoding word 2450000
1763892217.2412634: Encoding word 2500000
1763892217.5176172: Encoding word 2550000
1763892217.7950249: Encoding word 2600000
1763892218.0741706: Encoding word 2650000
1763892218.3512847: Encoding word 2700000
1763892218.6301801: Encoding word 2750000
1763892218.9122567: Encoding word 2800000
1763892219.1914444: Encoding word 2850000
1763892219.4673867: Encoding word 2900000
1763892219.740465: Encoding word 2950000
1763892220.0151222: Encoding word 3000000
1763892220.2908254: Encoding word 3050000
1763892220.5677156: Encoding word 3100000
1763892220.8468294: Encoding word 3150000
1763892221.1271865: Encoding word 3200000
1763892221.4100387: Encoding word 3250000
1763892221.6912415: Encoding word 3300000
1763892221.9701102: Encoding word 3350000
1763892222.2579467: Encoding word 3400000
1763892222.5368264: Encoding word 3450000
1763892222.8110464: Encoding word 3500000
1763892223.0934033: Encoding word 3550000
1763892223.3699865: Encoding word 3600000
1763892223.6431499: Encoding word 3650000
1763892223.9218698: Encoding word 3700000
1763892224.1995306: Encoding word 3750000
1763892224.477922: Encoding word 3800000
1763892224.7512136: Encoding word 3850000
1763892225.0282764: Encoding word 3900000
1763892225.3117595: Encoding word 3950000
1763892225.5883954: Encoding word 4000000
1763892225.8577588: Encoding word 4050000
1763892226.1348403: Encoding word 4100000
1763892226.413369: Encoding word 4150000
1763892226.6940317: Encoding word 4200000
1763892226.9731002: Encoding word 4250000
1763892227.2522466: Encoding word 4300000
1763892227.5313373: Encoding word 4350000
1763892227.808211: Encoding word 4400000
1763892228.0889103: Encoding word 4450000
1763892228.3694386: Encoding word 4500000
1763892228.6463032: Encoding word 4550000
1763892228.919994: Encoding word 4600000
1763892229.1958869: Encoding word 4650000
1763892229.4697635: Encoding word 4700000
1763892229.7441757: Encoding word 4750000
1763892230.0230436: Encoding word 4800000
1763892230.3004296: Encoding word 4850000
1763892230.574491: Encoding word 4900000
1763892230.8473284: Encoding word 4950000
1763892231.122441: Encoding word 5000000
1763892231.3989148: Encoding word 5050000
1763892231.6804457: Encoding word 5100000
1763892231.9540107: Encoding word 5150000
1763892232.230422: Encoding word 5200000
1763892232.5054514: Encoding word 5250000
1763892232.7879255: Encoding word 5300000
1763892233.0642266: Encoding word 5350000
1763892233.343946: Encoding word 5400000
